County,Year,Observation
Kakamega,2012,2.26
Kakamega,2013,2.35
Kakamega,2014,2.57
Kakamega,2015,2.86
Kakamega,2016,2.20
Kakamega,2017,2.51
Kakamega,2018,2.50
