County,Year,Observation
Bungoma,2012,2.73
Bungoma,2013,2.39
Bungoma,2014,2.73
Bungoma,2015,2.67
Bungoma,2016,2.99
Bungoma,2017,3.03
Bungoma,2018,3.16
