County,Year,Observation
Nakuru,2012,3.33
Nakuru,2013,2.55
Nakuru,2014,1.84
Nakuru,2015,1.57
Nakuru,2016,2.36
Nakuru,2017,2.33
Nakuru,2018,2.76
