Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
29 4 2000 13.16622 25.7315 1.5042536 3.664809659
30 4 2000 14.7791 24.1129 3.6574101 3.79561971
1 5 2000 13.91015 23.7697 5.793535 3.258696407
2 5 2000 14.43713 23.10708 2.5993447 3.321708877
3 5 2000 13.42758 22.57723 1.5645623 3.399430388
4 5 2000 13.54672 23.82626 8.483303 3.701292135
5 5 2000 12.58816 23.12374 14.361208 3.344359153
6 5 2000 13.3333 22.62383 4.3375244 2.579848951
7 5 2000 13.20065 24.03912 6.6063 3.735333103
8 5 2000 13.75073 24.36648 3.4341333 3.485301832
9 5 2000 14.0182 22.15862 20.11188 2.979042292
10 5 2000 13.16992 21.69833 2.997339 2.92988933
11 5 2000 14.20254 20.9271 7.459526 2.727874603
12 5 2000 13.82928 19.833 14.743059 2.155051854
13 5 2000 13.7387 21.47836 11.482713 2.850009233
14 5 2000 12.4626 22.23937 0 3.085625188
15 5 2000 12.90814 23.92343 0 3.761548279
16 5 2000 12.27175 24.57675 0 3.509361901
17 5 2000 13.51724 24.28 0 3.623851039
18 5 2000 12.46823 24.27905 0 3.838088101
19 5 2000 11.45776 24.45953 0 3.647321848
20 5 2000 12.37 24.9992 0 4.128839158
21 5 2000 12.94833 24.68948 0 4.015362052
22 5 2000 11.97897 25.229 0 4.022937079
23 5 2000 13.1698 25.54952 0 3.846524962
24 5 2000 11.64968 24.51116 0 3.758853225
25 5 2000 12.60333 23.84826 0.5885639 3.423348949
26 5 2000 12.2186 22.27392 17.557602 3.146829634
27 5 2000 12.13976 23.69045 0.2403654 3.24887997
28 5 2000 13.12716 22.3566 0.5344917 3.346869893
29 5 2000 13.0725 22.79556 2.7216747 3.31248431
30 5 2000 12.52642 22.8625 2.8527327 3.222792239
31 5 2000 12.33022 24.50558 0.4807308 3.632981192
1 6 2000 12.67166 25.1115 0 3.625011044
2 6 2000 12.35848 24.62704 0 3.394213742
3 6 2000 11.88348 24.03805 0 3.331165788
4 6 2000 12.2347 22.79257 0.31123558 3.241009202
5 6 2000 11.9724 22.3573 1.2490219 3.003289082
6 6 2000 11.048 22.69146 0.48871794 3.118218096
7 6 2000 13.17797 21.9284 1.0271666 2.754880237
8 6 2000 12.17858 22.91348 0.16530344 2.885966547
9 6 2000 12.33105 23.0061 4.142577 3.060213999
10 6 2000 10.90878 22.32272 11.1400585 2.960280466
11 6 2000 11.20565 23.20968 14.131337 3.304757368
12 6 2000 11.48382 22.08593 1.4254794 3.000717177
13 6 2000 12.2664 21.89315 0 2.832147664
14 6 2000 12.81292 21.61828 0 2.844837005
15 6 2000 13.3071 22.24456 1.1003917 2.957102898
16 6 2000 12.6069 22.3861 1.6999977 3.133003433
17 6 2000 11.80844 23.18032 0 3.504147508
18 6 2000 11.6254 23.64987 0 3.222350654
19 6 2000 12.1167 22.97796 0 3.288728584
20 6 2000 11.69927 22.7263 5.748428 3.058175038
21 6 2000 12.2567 22.13976 1.2234602 2.840518729
22 6 2000 11.36578 21.6296 0.56290454 2.976590824
23 6 2000 11.22943 21.62454 1.5039846 3.027785451
24 6 2000 12.66906 19.61794 7.0857887 2.465755452
25 6 2000 11.79614 18.3793 6.0680327 1.455650686
26 6 2000 11.49285 20.04818 2.978443 2.569906973
27 6 2000 10.94717 20.3471 8.207746 2.385485999
28 6 2000 10.93746 20.29586 1.7102516 2.507487077
29 6 2000 11.72717 20.14764 2.0512326 2.514017991
30 6 2000 11.5859 20.9279 16.12051 2.592904004
1 7 2000 10.61804 20.89785 5.499897 2.699173775
2 7 2000 10.14697 20.99484 2.7734852 2.80822061
3 7 2000 11.8605 19.28854 2.3706384 2.46366165
