Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
24 4 2000 14.79232 25.75753 8.186482 4.115407855
25 4 2000 15.10037 23.56365 3.3067825 3.908842695
26 4 2000 14.39352 26.21575 0.7635739 4.853717758
27 4 2000 14.3253 25.41934 0 4.254435405
28 4 2000 14.46984 26.01016 0.025256246 4.667826252
29 4 2000 14.91274 25.1518 0 4.746708389
30 4 2000 14.33636 24.62545 0.29794645 4.619121242
1 5 2000 14.76122 24.53143 1.701976 4.252480788
2 5 2000 14.55233 25.5987 0.98649544 4.536882197
3 5 2000 14.5267 23.7072 0.30957142 4.110040245
4 5 2000 15.07986 26.04345 0.049477577 4.690551732
5 5 2000 14.62805 25.0022 0.04943015 4.44615833
6 5 2000 14.34704 25.2457 0.63491344 4.523900119
7 5 2000 13.9293 24.80996 0.21437703 4.432496813
8 5 2000 13.71856 25.87838 1.2143577 4.395507818
9 5 2000 14.89398 24.35067 2.1527793 3.760775686
10 5 2000 14.4891 22.97387 0 3.5221271
11 5 2000 14.91573 22.6762 6.4235187 3.502430297
12 5 2000 15.0992 22.81222 0.25608802 2.98685812
13 5 2000 14.9422 24.66888 0 3.750325561
14 5 2000 14.37744 24.22866 0.013326984 3.915376311
15 5 2000 13.57226 26.70068 0.33845037 5.102049083
16 5 2000 14.0046 25.14266 0.76860857 4.132184819
17 5 2000 13.90878 25.23458 0.09001874 4.277819624
18 5 2000 12.72268 25.95962 0.86200637 4.638509159
19 5 2000 13.0141 25.41195 1.2515734 4.55013158
20 5 2000 13.69436 25.94988 0.005611247 4.984858807
21 5 2000 13.6935 25.51516 0 4.878781302
22 5 2000 12.6465 26.20443 0 4.588830589
23 5 2000 12.77593 26.27426 0.043433122 4.211287252
24 5 2000 13.27838 26.39645 2.2514715 4.108516539
25 5 2000 14.4916 25.27896 4.948002 3.815120164
26 5 2000 13.60946 24.89517 9.1211815 3.501014444
27 5 2000 14.48177 25.08206 10.436123 3.586161449
28 5 2000 13.29543 22.93713 8.54628 2.957592772
29 5 2000 12.9961 22.88687 3.72111 3.359098664
30 5 2000 13.3624 22.62893 1.9261814 3.427784835
31 5 2000 12.38662 23.9111 0 3.798158615
1 6 2000 12.75784 24.56182 0 4.121075053
2 6 2000 12.2631 24.6639 0 4.414907224
3 6 2000 12.79717 24.56356 0 4.713067731
4 6 2000 12.97006 23.87338 3.0868654 4.130422801
5 6 2000 13.2255 22.96398 0.4888807 3.434961488
6 6 2000 13.10073 22.37313 4.5010242 3.408680844
7 6 2000 13.26724 22.35 0.49038804 3.730822665
8 6 2000 12.93633 22.64028 0.3203905 3.663271686
9 6 2000 12.54037 23.551 0 3.556697054
10 6 2000 13.47567 24.16064 0 3.464586547
11 6 2000 13.22576 25.37417 1.101089 3.754846627
12 6 2000 13.7704 22.60256 0 3.374119823
13 6 2000 14.63973 20.6974 0 2.982280796
14 6 2000 14.81362 21.34243 0 3.24384952
15 6 2000 13.64642 22.1237 1.0515828 3.301739767
16 6 2000 13.45886 22.88333 9.331525 3.694367521
17 6 2000 12.91662 22.75857 0.007676194 3.850859293
18 6 2000 12.8076 24.16354 0 4.245243343
19 6 2000 13.4212 23.1932 0 3.840950093
20 6 2000 13.05255 24.04366 2.7374923 3.784584851
21 6 2000 12.6699 23.5924 6.7614274 3.744067293
22 6 2000 13.36837 22.85165 0.394022 3.610558489
23 6 2000 13.0984 22.71252 0.31860885 3.162139335
24 6 2000 13.4668 20.8712 0.4806908 2.769141206
25 6 2000 13.25015 22.08907 0.21109982 3.085867441
26 6 2000 12.6618 22.0914 2.5140934 3.128292902
27 6 2000 13.0575 21.35122 1.7329667 2.831218905
28 6 2000 13.24258 21.83724 3.6010814 2.872095224
29 6 2000 13.10827 21.71343 0.90290695 3.256317387
30 6 2000 12.2242 22.41146 0 3.637751122
1 7 2000 11.5486 22.23776 0.18411857 3.771433021
2 7 2000 11.61907 21.5739 0.05679249 3.50726453
3 7 2000 12.45614 20.9525 3.376442 3.416157861
4 7 2000 11.7063 21.5292 3.370566 2.952561099
5 7 2000 13.79916 22.1714 0.39369228 3.225920484
6 7 2000 13.09237 21.71716 0.51404065 2.653885707
7 7 2000 12.50262 23.17425 0 3.185036123
8 7 2000 14.0758 22.99383 0.031831294 3.297080021
9 7 2000 13.84356 22.81994 0.18039705 3.369954246
10 7 2000 13.8826 20.571 1.4649235 3.136112052
11 7 2000 12.88107 21.99975 0.8050909 3.50288612
12 7 2000 12.4114 23.0704 0 3.361671361
13 7 2000 13.17462 23.2403 0.015222844 3.201466987
14 7 2000 12.64822 22.26617 0.14267994 3.246153253
15 7 2000 12.9334 22.88195 0.41915992 3.321292653
16 7 2000 12.70928 25.16546 0.14667046 3.945969869
17 7 2000 13.2598 23.88363 0 4.128895589
18 7 2000 12.98705 21.7987 0.083531626 3.427631497
19 7 2000 13.77166 24.45754 0.027298216 3.548300763
20 7 2000 14.02047 24.22997 1.6105672 3.224502501
21 7 2000 13.65414 23.30786 4.7042623 3.459990478
22 7 2000 13.0721 22.08798 3.6753728 3.133961092
23 7 2000 13.03378 21.8007 0.78389984 3.718027253
24 7 2000 12.55734 19.3516 1.7954503 3.242760105
25 7 2000 12.0468 21.41763 0.854023 3.082738459
26 7 2000 12.9916 21.406 7.480734 3.092675032
27 7 2000 13.8238 21.55193 4.5793896 3.48925252
28 7 2000 13.185 22.9209 0 3.605219991
29 7 2000 13.07604 22.7852 0 3.930695734
30 7 2000 12.65154 23.86642 0.057909667 4.497369422
31 7 2000 12.88528 23.3136 0.37596 4.098082401
1 8 2000 11.45297 22.49148 0.84591126 3.672844792
2 8 2000 12.5079 22.5309 5.032954 3.984564506
3 8 2000 11.74572 23.79855 1.0681006 4.375206035
4 8 2000 11.2624 24.88683 2.280435 4.759708905
5 8 2000 11.60937 22.92236 0 4.523534672
6 8 2000 12.3541 22.0583 0.007354295 3.470253524
7 8 2000 11.32043 23.02047 0.006332293 3.505555512
8 8 2000 12.64193 23.59857 0.6121829 3.672173006
9 8 2000 13.2037 22.29577 1.256966 3.727407238
10 8 2000 12.88485 23.76946 0.5792034 3.935279464
11 8 2000 12.09094 24.41894 0 3.968706848
12 8 2000 12.1025 25.21353 0 4.177716263
13 8 2000 12.7546 23.3979 1.0116603 3.853942204
14 8 2000 13.40597 23.399 3.577763 3.710216068
15 8 2000 13.64507 18.15792 0.6957383 2.278054133
16 8 2000 13.39196 21.26187 2.0256307 3.131562444
17 8 2000 12.92776 22.4121 3.279141 3.434613261
18 8 2000 12.41927 22.21127 2.7492776 3.524258594
19 8 2000 11.99868 22.1892 0.35149693 3.398723406
20 8 2000 12.25042 23.52242 3.9141579 4.287309246
21 8 2000 10.96392 23.82433 0 4.736247314
22 8 2000 10.4991 24.21746 0 4.576285658
23 8 2000 11.91125 24.2262 0 4.366436688
24 8 2000 12.76293 24.7281 0 4.146901711
25 8 2000 13.48058 23.5226 0.4448664 3.828778036
26 8 2000 13.62115 20.9475 0 3.601760977
27 8 2000 12.8384 21.3428 0 3.651672027
28 8 2000 12.42858 21.8866 0 3.676088954
29 8 2000 11.9355 23.6358 0.33100897 3.678732973
30 8 2000 13.35696 23.14062 4.6186457 3.592088002
31 8 2000 13.41113 23.40118 4.0805984 3.75329998
1 9 2000 13.12466 24.80712 0.7333826 4.212853001
2 9 2000 13.16778 22.95953 0 4.426045364
3 9 2000 13.03494 24.14865 0.048907638 4.580954204
4 9 2000 13.33276 23.74896 0.025488377 4.441243565
5 9 2000 12.49557 26.07293 0 4.693292733
6 9 2000 12.3307 25.08468 0.034097668 4.499542268
7 9 2000 12.47576 25.40286 0 4.38701796
8 9 2000 13.14068 24.85894 6.2595277 4.3053261
9 9 2000 12.52853 24.51568 0.006168848 4.910875439
10 9 2000 11.63638 24.31268 0.09939405 5.190197994
11 9 2000 10.91998 24.73293 0 5.151648879
12 9 2000 12.17172 24.87322 0 5.72130905
13 9 2000 11.72384 24.94796 0 5.561287897
14 9 2000 13.6403 21.7923 0 4.151165656
15 9 2000 12.72048 24.04626 2.5027661 4.526547388
16 9 2000 12.32006 24.5289 0 4.411994023
