Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
26 4 2000 20.4825 26.1351 4.8168836 4.337465999
27 4 2000 19.42065 25.9187 2.0963066 3.7613295
28 4 2000 20.10873 24.67578 8.845482 3.688283921
29 4 2000 20.11947 26.71584 0.21985286 4.362702005
30 4 2000 20.18795 26.45532 9.052346 4.595372813
1 5 2000 19.8478 25.6522 2.913267 4.070063635
2 5 2000 20.53607 25.3384 5.9757633 4.138062617
3 5 2000 20.07858 25.90402 6.448585 4.422601129
4 5 2000 20.86947 26.4771 5.689729 4.551843443
5 5 2000 20.98635 26.81155 6.89996 4.619555449
6 5 2000 20.128 26.50317 4.5908184 3.965233994
7 5 2000 21.04156 27.90484 1.0334389 4.985673375
8 5 2000 20.70205 26.36514 8.383392 4.304134981
9 5 2000 20.74532 25.1305 6.4609647 3.634788148
10 5 2000 20.5489 26.10293 3.4533515 4.084286927
11 5 2000 20.4112 24.7785 25.726585 3.765250311
12 5 2000 20.42462 23.1197 5.3663063 2.030223957
13 5 2000 19.96423 24.5668 1.9611102 3.4410296
14 5 2000 20.36035 25.56484 8.340396 3.58982818
15 5 2000 20.7382 26.03314 0.5730808 4.440072492
16 5 2000 20.91653 25.98858 9.462189 4.164327697
17 5 2000 20.90612 26.71594 8.621993 4.441808288
18 5 2000 20.38467 26.10177 4.289493 4.29150709
19 5 2000 19.9418 25.8661 0 4.041326784
20 5 2000 21.10607 27.51205 0 4.903206983
21 5 2000 21.2949 27.00552 0 4.713481665
22 5 2000 20.46246 26.47253 0 4.39503308
23 5 2000 20.92288 26.69927 0 4.389648172
24 5 2000 21.33407 26.8933 0 4.492592943
25 5 2000 21.44708 25.37805 0.7150532 4.095737564
26 5 2000 20.9036 25.18197 4.6842365 3.994745931
27 5 2000 21.10363 26.71884 2.314592 4.409051612
28 5 2000 20.50433 24.33553 14.195295 3.554375489
29 5 2000 20.65713 25.865 8.717249 4.165573419
30 5 2000 20.6265 25.41186 8.973438 3.925522195
31 5 2000 20.5684 26.47585 7.996402 4.308486586
1 6 2000 21.25982 26.75652 0.032212432 4.35296578
2 6 2000 21.0925 26.71584 0 4.512791051
3 6 2000 21.06967 27.05258 0 4.611091791
4 6 2000 21.0095 25.99166 0.75321954 4.391199105
5 6 2000 20.5595 25.51437 0.67926973 4.194732838
6 6 2000 20.11868 25.41485 1.8013428 4.164746395
7 6 2000 20.706 25.50338 6.2694025 4.031009247
8 6 2000 20.309 25.9228 0.52950335 4.240698186
9 6 2000 19.25143 25.0392 0.59084624 3.77217958
10 6 2000 19.74838 24.9934 2.0367174 3.629265896
11 6 2000 20.70498 26.34548 0 4.253055192
12 6 2000 20.88284 26.61184 0 4.231508894
13 6 2000 21.21963 26.35922 3.163932 4.127267288
14 6 2000 21.12795 26.43014 0 4.300088941
15 6 2000 20.8957 25.689 0.39025477 4.011386287
16 6 2000 20.33364 25.93 0 4.128363748
17 6 2000 20.33886 26.1418 0 4.311108897
18 6 2000 20.5675 26.84103 0 4.519895238
19 6 2000 20.26177 26.56573 0 4.525892264
20 6 2000 20.43063 26.25805 5.4107757 4.38747982
21 6 2000 20.00253 25.56158 0.34659958 3.772903284
22 6 2000 20.8769 25.3831 0.09886516 4.13496357
23 6 2000 20.59854 25.29214 11.092544 3.510474575
24 6 2000 20.36422 24.31558 19.437574 3.239917289
25 6 2000 18.71978 22.64105 5.0044355 2.739133308
26 6 2000 19.21777 23.04815 0.9078616 3.31685172
27 6 2000 19.3541 23.98846 2.7614114 3.483677084
28 6 2000 19.4404 24.81918 8.265271 3.691969715
29 6 2000 20.18273 25.0662 10.903578 3.809249876
30 6 2000 19.19125 25.1778 0 3.904760091
1 7 2000 19.33828 24.24087 1.2903035 3.856872728
2 7 2000 19.5888 25.1468 0 4.010475628
3 7 2000 19.5806 25.16635 4.4252486 3.909143802
4 7 2000 19.26302 24.44335 9.408842 3.408347309
5 7 2000 19.64764 25.23718 0 3.94632418
6 7 2000 19.64562 24.86047 0 3.26124199
7 7 2000 19.9189 24.54073 0 3.573749476
