Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
27 4 2000 15.69073 26.58773 7.3303037 3.402521474
28 4 2000 16.4388 25.29894 4.706056 3.012633123
29 4 2000 15.2224 27.317 12.610939 3.493606893
30 4 2000 16.51443 25.12234 16.722479 3.575365733
1 5 2000 16.6403 25.48177 6.0547824 3.107096707
2 5 2000 16.22204 24.36404 7.323879 3.088026593
3 5 2000 14.74166 24.10903 8.639756 3.276446089
4 5 2000 15.1622 25.21655 5.434254 3.520879711
5 5 2000 14.4443 25.59634 9.078625 3.403067956
6 5 2000 15.34484 25.22988 6.9037123 2.70404369
7 5 2000 15.79043 27.03842 8.939292 3.563012619
8 5 2000 15.97015 25.78332 7.8236194 3.272603845
9 5 2000 15.97048 24.13094 8.848472 2.842571613
10 5 2000 15.36727 24.2608 2.1328926 2.857926225
11 5 2000 16.48916 23.46337 24.318117 2.762094917
12 5 2000 16.32446 22.3798 8.172142 2.059888932
13 5 2000 16.41354 23.8173 7.506283 2.776582016
14 5 2000 15.06594 24.83624 6.8715115 3.132992067
15 5 2000 14.69076 25.91778 5.1728354 3.485765575
16 5 2000 14.92846 26.80093 11.686671 3.49833633
17 5 2000 15.32617 26.77725 1.6143172 3.549459723
18 5 2000 14.35842 26.72646 0 3.601082575
19 5 2000 15.237 26.28347 1.7837331 3.703806748
20 5 2000 14.69442 27.65362 1.0168737 4.085332425
21 5 2000 14.8301 27.15524 0 3.914820011
22 5 2000 14.4207 27.64456 0 3.967108741
23 5 2000 15.56243 27.52697 0 3.830325467
24 5 2000 14.19302 26.5533 0.3477183 3.830415933
25 5 2000 15.19183 26.05483 4.5966463 3.649178092
26 5 2000 14.74352 25.02795 15.787102 3.332615282
27 5 2000 14.97634 26.42794 10.503081 3.464830786
28 5 2000 15.4982 24.3632 10.018909 3.422762135
29 5 2000 15.64358 24.27624 10.889754 3.251923181
30 5 2000 15.00314 24.31637 16.115326 3.198835602
31 5 2000 14.66665 26.2187 19.334324 3.487464729
1 6 2000 15.5233 27.1319 0 3.633478025
2 6 2000 15.35027 26.5795 0 3.465826252
3 6 2000 14.5802 25.58547 0.16730389 3.418518795
4 6 2000 14.89477 24.4576 7.1671295 3.288626271
5 6 2000 14.34725 24.81362 0.68005794 3.063210668
6 6 2000 13.17437 24.42132 2.0450873 3.065511509
7 6 2000 15.27633 23.45233 1.4875968 2.728094421
8 6 2000 14.31536 24.63818 8.821803 2.919213133
9 6 2000 14.33016 24.36834 13.153753 3.026513383
10 6 2000 13.72915 24.57485 2.748214 3.105134309
11 6 2000 13.87426 26.7476 0 3.688216976
12 6 2000 14.11968 25.96545 0.72241473 3.404665508
13 6 2000 15.1962 24.42947 0 2.989624316
14 6 2000 15.58892 24.20144 0 2.957496277
15 6 2000 15.49514 25.17867 1.6481984 3.044253967
16 6 2000 15.13894 25.23303 1.4800526 3.138089143
17 6 2000 13.8608 25.89138 0 3.359691674
18 6 2000 14.7505 26.01644 0 3.215863404
19 6 2000 13.99212 26.21014 0 3.354175904
20 6 2000 14.61065 26.13732 14.043702 3.399969099
21 6 2000 15.02444 24.61712 12.103949 3.064946925
22 6 2000 14.45358 24.16985 5.958753 3.095772337
23 6 2000 14.29354 24.2197 7.9101386 3.025198251
24 6 2000 15.16857 22.6611 17.89698 2.49308708
25 6 2000 14.55746 21.32015 4.2208214 1.474692036
26 6 2000 14.04415 22.48074 7.916136 2.446719004
27 6 2000 13.84506 24.53866 4.825935 2.78473575
28 6 2000 14.29336 23.77996 9.370426 2.635082388
29 6 2000 14.3063 23.6578 7.599829 2.743818088
30 6 2000 14.08047 23.9581 5.3582506 2.734494598
1 7 2000 12.84863 23.75628 1.8755212 2.932245404
2 7 2000 13.08813 23.8292 2.7875257 3.01014723
3 7 2000 14.43386 22.31698 3.9421725 2.666915777
4 7 2000 14.36273 23.32092 13.404435 2.446721041
5 7 2000 14.92565 24.36874 4.3678603 2.920772684
6 7 2000 12.8859 22.5552 0 2.227220897
7 7 2000 13.59432 24.73226 0 2.896424946
8 7 2000 14.777 24.66268 0 2.813348795
9 7 2000 14.11697 24.4884 0.42638737 3.197224602
10 7 2000 15.04696 21.93658 12.494495 2.590464138
11 7 2000 15.4166 23.57885 7.6889553 2.705390216
12 7 2000 15.61532 23.17498 16.903557 2.375992756
13 7 2000 15.23782 24.7042 1.120121 2.92649889
14 7 2000 14.7766 24.2828 1.5410874 3.22271582
15 7 2000 14.6144 24.3048 0 3.272757956
16 7 2000 15.33953 25.17513 0 2.884514094
17 7 2000 15.58495 24.9396 0.734532 3.311747001
18 7 2000 15.1985 23.304 0 3.214753973
19 7 2000 16.05038 25.29238 0 3.419518876
20 7 2000 14.87307 25.40365 19.113842 3.150385895
21 7 2000 14.77722 23.93484 6.6971083 2.969253831
22 7 2000 15.3001 21.26223 7.666348 2.095836206
23 7 2000 14.99636 22.327 15.496844 2.714201392
24 7 2000 14.88394 20.2799 0 2.388320772
25 7 2000 14.32913 24.01473 5.0477724 2.732566122
26 7 2000 13.01156 23.9508 7.652207 2.781258751
27 7 2000 13.54528 23.1654 5.6101947 2.937159012
28 7 2000 12.7271 23.89248 8.398574 2.876929079
29 7 2000 13.12307 22.7275 2.7571678 2.52302002
30 7 2000 13.66952 24.37408 12.310363 3.186288729
31 7 2000 13.89877 24.79443 0 3.389791034
1 8 2000 12.88232 23.37536 4.5988183 3.133654928
2 8 2000 13.99505 23.85098 5.2276773 3.3946213
3 8 2000 13.83367 24.82403 1.3460708 3.390325598
4 8 2000 12.7994 25.63992 0 3.342550326
5 8 2000 12.9403 24.62917 0 3.553084045
6 8 2000 14.08004 24.11645 0.18347315 3.326308491
7 8 2000 14.14932 22.39373 0 2.781754503
8 8 2000 14.25204 24.78567 9.103204 3.569243012
9 8 2000 14.46096 23.22378 10.736898 3.367734897
10 8 2000 14.6024 22.8819 9.719265 3.141226725
11 8 2000 13.56405 24.236 0 3.394377305
12 8 2000 14.00433 25.47814 6.8022194 3.109590882
13 8 2000 14.92376 23.5266 9.344827 2.853038811
14 8 2000 14.54794 24.85772 10.974629 3.086739384
15 8 2000 14.2168 20.49905 4.509677 2.216341682
16 8 2000 14.33486 24.04217 11.004052 2.851803235
17 8 2000 14.20815 23.8735 4.784687 2.948119355
18 8 2000 13.9065 23.07797 10.156747 3.104143527
19 8 2000 13.01708 23.44564 1.1145416 2.881466859
20 8 2000 14.28918 24.94744 7.9222183 3.267597989
21 8 2000 14.05938 24.4333 2.6916528 3.543234624
22 8 2000 13.54727 25.04882 9.108009 3.600325178
23 8 2000 14.2032 24.63098 0 3.393842664
24 8 2000 14.3576 25.9811 3.0060198 3.56475124
25 8 2000 14.8442 23.9511 0 3.235215056
26 8 2000 13.78768 22.96942 1.4432147 3.136126536
27 8 2000 14.66604 23.45608 7.562418 2.992443859
28 8 2000 14.83386 22.6133 7.632588 2.726890113
29 8 2000 14.22857 23.8033 3.0124152 2.943754026
30 8 2000 14.438 24.92303 21.969736 3.228066151
31 8 2000 15.03713 24.917 6.4859343 3.286359163
1 9 2000 14.3531 26.29775 2.1769605 3.66722801
2 9 2000 14.0909 25.42367 3.4819865 3.787986018
3 9 2000 14.29785 25.52194 2.3169086 3.513870452
4 9 2000 14.85607 25.00408 3.8707812 3.657766243
5 9 2000 14.13876 24.65203 0.91772735 3.439738258
6 9 2000 14.3331 26.02114 0.8035681 3.951261308
7 9 2000 14.37045 26.25677 7.5937834 4.163103797
8 9 2000 14.46795 24.84353 9.571132 3.706023239
9 9 2000 13.59826 25.8769 2.2096841 3.751515906
10 9 2000 14.08914 26.1459 2.984659 4.012337809
11 9 2000 13.39266 26.7111 0 4.144792826
12 9 2000 13.24456 27.24893 0 4.418249451
13 9 2000 12.586 27.01214 0 4.252936868
14 9 2000 15.1789 24.52926 0 3.59855878
15 9 2000 13.28127 22.99944 2.327816 2.835070855
16 9 2000 13.10272 24.92544 2.1091673 3.404550242
17 9 2000 12.92404 25.32763 0.050580908 3.902189418
18 9 2000 14.66134 25.52902 1.4518938 3.931442455
19 9 2000 13.9677 25.89807 7.6494904 3.880928785
20 9 2000 14.1519 24.73788 12.148257 3.612857803
21 9 2000 14.78588 24.5685 13.032177 2.989345932
22 9 2000 14.3864 22.5746 14.568342 2.859554846
23 9 2000 15.37167 24.8138 4.559716 3.250279265
24 9 2000 14.92773 24.54043 5.1382775 3.250822395
25 9 2000 14.2117 24.64474 0 3.422475856
26 9 2000 14.11813 24.9587 7.806637 3.525511164
27 9 2000 13.9722 26.1047 1.3312507 3.90987172
28 9 2000 14.4859 21.91897 19.815254 2.8458655
29 9 2000 15.0558 23.6703 3.5106602 3.037857876
30 9 2000 14.75668 26.33907 2.8743725 3.582901536
1 10 2000 15.5687 25.63638 5.228958 3.593312661
2 10 2000 15.01992 23.2551 3.210121 3.012597871
3 10 2000 14.38702 26.2842 2.7708669 3.646383819
4 10 2000 15.15823 24.57067 14.112157 2.898954227
5 10 2000 14.78726 24.4963 10.435381 3.264663525
6 10 2000 14.49404 25.22665 6.1845903 3.713421838
7 10 2000 13.6135 25.4268 6.056322 3.553995793
8 10 2000 14.85348 26.03146 7.0279765 3.328383921
9 10 2000 14.72778 23.31924 13.191861 2.941279836
10 10 2000 15.18035 22.6714 4.072661 2.703457922
11 10 2000 14.81497 25.36797 6.808024 3.606758187
12 10 2000 13.97918 26.1026 4.0110984 3.667507747
13 10 2000 14.7669 24.8961 0.31360656 3.617646909
14 10 2000 14.94848 24.0425 5.571326 3.6365908
15 10 2000 14.5123 24.7554 6.6192203 3.413971623
16 10 2000 15.545 24.06594 2.61386 3.624850831
17 10 2000 14.98876 24.01357 3.3665533 3.367370631
18 10 2000 14.6894 23.3082 4.1362667 3.392447025
19 10 2000 14.95352 21.9034 5.838726 3.017338281
20 10 2000 15.26797 22.5765 10.294206 2.77804357
21 10 2000 14.8808 19.85403 5.4296966 2.049443292
22 10 2000 14.94714 23.67346 3.7217696 3.043759123
23 10 2000 14.43063 24.2802 3.9647894 3.311494646
24 10 2000 15.30563 25.08083 7.3779626 3.55066701
25 10 2000 13.96667 27.0527 3.4219887 4.17274242
26 10 2000 14.03375 27.2702 0 4.305444951
27 10 2000 14.41018 26.8344 0 4.035876368
28 10 2000 13.17196 25.71334 0.57510364 3.811339948
29 10 2000 13.80374 26.30984 0.020282611 3.982802041
30 10 2000 14.8904 26.03 2.7290666 3.784436615
31 10 2000 15.0212 23.82574 8.1885605 3.098519176
1 11 2000 14.52273 25.34838 9.779324 3.040987382
2 11 2000 15.14865 24.69543 4.166674 3.180528333
3 11 2000 15.08053 23.8178 12.80668 3.234292353
4 11 2000 14.9853 24.21917 6.164863 3.026404327
5 11 2000 14.86245 26.24822 0.9244671 3.573412257
6 11 2000 14.27407 24.94836 1.1944144 3.405782384
7 11 2000 14.5196 24.43698 6.8210826 3.062068867
8 11 2000 14.69097 24.91448 1.9078381 3.566266052
9 11 2000 14.34384 26.7373 0 3.97393375
10 11 2000 15.586 26.77725 1.1800214 4.173307737
11 11 2000 14.48452 26.31863 0.020188639 4.563964377
12 11 2000 13.5724 26.09646 0 4.138101339
13 11 2000 14.25466 26.34158 0.35683775 4.018136841
14 11 2000 15.28936 27.28604 1.988027 3.977809749
15 11 2000 15.56857 26.39425 5.697663 3.748233336
16 11 2000 15.52322 25.99832 9.961083 3.507207984
17 11 2000 16.16622 21.7629 12.006209 2.336194869
18 11 2000 15.08438 22.22592 14.281171 2.338472332
19 11 2000 14.67397 25.09115 4.95006 3.423452925
20 11 2000 15.3705 25.59182 5.958498 3.449877513
21 11 2000 15.43582 25.4705 9.11505 3.332168675
22 11 2000 14.7242 21.31564 7.1610265 2.375977446
23 11 2000 14.03164 24.22512 3.0535693 3.207982378
24 11 2000 14.15243 25.097 0.45163664 3.34068098
25 11 2000 13.6836 26.03512 0 3.649207495
26 11 2000 14.58727 24.42947 0 3.74651853
27 11 2000 14.9392 26.90563 0 4.075052162
28 11 2000 13.3452 25.59963 0 3.705508494
29 11 2000 13.48416 26.69525 0 3.511088855
30 11 2000 13.28076 25.54135 0.6469162 3.737691686
1 12 2000 14.1319 25.79617 6.906779 3.549060674
2 12 2000 15.28903 25.2111 3.1424499 3.169211679
3 12 2000 14.6457 26.35336 14.943116 3.490694533
4 12 2000 15.3165 24.90194 17.118017 3.444810839
5 12 2000 15.10183 26.5678 0.36248276 3.744479645
6 12 2000 14.17852 25.91726 2.5321214 3.623176509
7 12 2000 13.71905 27.12094 2.8958416 3.792279907
8 12 2000 14.49267 25.97003 3.3739376 3.587726642
9 12 2000 14.65695 25.9236 6.4456673 3.38761096
10 12 2000 15.33462 24.4765 17.796543 2.979546304
11 12 2000 15.3411 22.86477 10.639233 2.597885653
12 12 2000 15.47054 24.7993 2.538746 2.96515405
13 12 2000 14.78402 25.00918 3.1501179 3.277717941
14 12 2000 13.70602 26.44995 0 3.538755528
15 12 2000 13.2255 27.21395 0.7679297 3.915016719
16 12 2000 15.75527 27.49456 0 3.937098056
17 12 2000 15.82308 23.65145 0.7713825 3.011418548
18 12 2000 14.22848 26.7612 0 3.961415069
19 12 2000 13.0106 27.31014 0 4.196452132
20 12 2000 13.35732 27.324 0 3.826774549
21 12 2000 14.7067 25.33514 0.04807578 3.546774132
